no_id;judul;author;penerbit;isBestSeller;original_rating;adjusted_rating;rating_count;review_count;genre;Unnamed: 10
489;Peony'S World;Kezia Evi Wiadji;Bhuana Ilmu Populer;1.0;3.83;4.0;18.0;;fiksi_ilmiah;
490;Harlequin Koleksi Istimewa: Kontrak Cinta Sang Miliuner (A Bride at His Bidding);Michelle Smart;Gramedia Pustaka Utama;1.0;3.72;4.0;224.0;;romance;
491;Harlequin Koleksi Istimewa: Pelarian Cinta Sang Putri (Whisked Away by her Sicilian Boss);Rebecca Winters;Gramedia Pustaka Utama;1.0;3.55;4.0;22.0;;novel;
492;Harlequin Koleksi Istimewa: Menanti Sang Mempelai (Bridal Bargain);Emma Darcy;Gramedia Pustaka Utama;1.0;3.45;3.0;164.0;;novel;
493;Harlequin Koleksi Istimewa: Kekasih Sang Pengantin (Mistress of The Groom);Susan Napier;Gramedia Pustaka Utama;1.0;3.75;4.0;1052.0;;novel;
494;Harlequin Koleksi Istimewa: Kekasih Sang Miliuner (Too Proud to be Bought);Sharon Kendrick;Gramedia Pustaka Utama;0.0;3.45;3.0;450.0;;novel;
495;Harlequin Koleksi Istimewa: Satu Malam di Madrid (A Spanish Awakening);Kim Lawrence;Gramedia Pustaka Utama;0.0;3.39;3.0;347.0;;novel;
497;Harlequin Koleksi Istimewa: Sang Mempelai Spanyol (The Spanish Groom);Lynne Graham;Gramedia Pustaka Utama;0.0;3.81;4.0;2332.0;;novel;
498;Harlequin Koleksi Istimewa: Pengantin Sang Taipan (Married for the Tycoon's Empire);Abby Green;Gramedia Pustaka Utama;1.0;3.74;4.0;269.0;;romance;
499;Harlequin Koleksi Istimewa: Tergoda Miliuner Yunani (Tempted by Her Greek Tycoon);Katrina Godmore;Gramedia Pustaka Utama;0.0;4.16;4.0;32.0;;novel;
500;Harlequin Koleksi Istimewa: Misi Terakhir Sang Prajurit (The Last Mercenary);Diana Palmer;Gramedia Pustaka Utama;1.0;4.11;4.0;1499.0;;romance;
501;Harlequin Koleksi Istimewa: Mempelai yang Hilang (Runaway Bride and the Billionaire);Kate Hardy;Gramedia Pustaka Utama;1.0;3.76;4.0;25.0;;romance;
502;Harlequin Koleksi Istimewa: Pangeran dan Pewaris (An Heiress on His Doorstep);Teresa Southwick;Gramedia Pustaka Utama;1.0;3.58;4.0;19.0;;romance;
503;Harlequin Koleksi Istimewa: Pengantin untuk Sang Raja (A Christmas Bride for the King);Abby Green;Gramedia Pustaka Utama;0.0;3.59;4.0;158.0;;novel;
504;Harlequin Koleksi Istimewa: Ellie dan Taipan Yunani (Carrying the Greek's Heir);Sharon Kendrick;Gramedia Pustaka Utama;1.0;3.48;3.0;968.0;;romance;
505;Dua Garis Biru;Lucia Priandarini;Gramedia Pustaka Utama;1.0;3.76;4.0;186.0;40.0;novel;
506;Segala Yang Diisap Langit;Pinto Anugerah;Bentang Pustaka;1.0;3.74;4.0;57.0;;fiksi_sejarah;
507;Bts Susah Move On;Rahayu A.;Araska Publisher;1.0;5.0;5.0;1.0;;novel;
508;Mozaik-Mozaik Terindah;Andrea Hirata;Bentang Pustaka;1.0;3.9;4.0;50.0;7.0;novel;
509;Harlequin Koleksi Istimewa: Putri Pujaan Castiglione (Castiglione's Pregnant Princess);Lynne Graham;Gramedia Pustaka Utama;1.0;3.72;4.0;402.0;;romance;
510;Harlequin Koleksi Istimewa: Miliuner Dari Negeri Dongeng (His Cinderella's One Night Heir);Lynne Graham;Gramedia Pustaka Utama;1.0;3.81;4.0;457.0;;romance;
511;Harlequin Koleksi Istimewa: Cinta Yang Tak Terbeli Oleh Harta (Bought: Destitute Yet Defiant);Sarah Morgan;Gramedia Pustaka Utama;1.0;3.51;4.0;1466.0;;romance;
